--------------  Ecart radiaux  -----------
 Rayon   Ecart
 0.000000 0.090576
 200.000000 0.094265
 400.000000 0.106922
 600.000000 0.133476
 800.000000 0.166214
 1000.000000 0.199663
 1200.000000 0.232654
 1400.000000 0.265843
 1600.000000 0.301789
 1800.000000 0.344797
 2000.000000 0.399930
 2200.000000 0.481990
 2400.000000 0.574552
 2600.000000 0.669122
 2800.000000 0.742799
 3000.000000 0.770545
 3200.000000 0.749414
 3400.000000 0.821800
 3600.000000 1.269917
 3609.699573 1.308362
--------------  Ecart plani  -----------
Im.X Im.Y  PhG.X Phg.Y Ec
5897.640000 3943.520000 -0.381218 -0.260033 0.461459
5897.640000 3557.216000 -0.281084 -0.125449 0.307808
5897.640000 3170.912000 -0.359846 -0.112077 0.376896
5897.640000 2784.608000 -0.463828 -0.098233 0.474116
5897.640000 2398.304000 -0.557499 -0.064659 0.561236
5897.640000 2012.000000 -0.640788 -0.013967 0.640940
5897.640000 1625.696000 -0.713976 0.049877 0.715716
5897.640000 1239.392000 -0.765531 0.119082 0.774738
5897.640000 853.088000 -0.770927 0.173381 0.790184
5897.640000 466.784000 -0.720233 0.185460 0.743728
5897.640000 80.480000 -0.721203 0.200022 0.748426
5319.912000 3943.520000 -0.222152 -0.155299 0.271052
5319.912000 3557.216000 -0.298465 -0.159546 0.338432
5319.912000 3170.912000 -0.349811 -0.135940 0.375296
5319.912000 2784.608000 -0.390604 -0.099336 0.403037
5319.912000 2398.304000 -0.435439 -0.057915 0.439274
5319.912000 2012.000000 -0.491644 -0.010456 0.491756
5319.912000 1625.696000 -0.563438 0.049048 0.565569
5319.912000 1239.392000 -0.653565 0.129374 0.666247
5319.912000 853.088000 -0.757463 0.237597 0.793854
5319.912000 466.784000 -0.847267 0.361464 0.921150
5319.912000 80.480000 -0.858340 0.437042 0.963199
4742.184000 3943.520000 -0.184734 -0.181963 0.259301
4742.184000 3557.216000 -0.209586 -0.147642 0.256368
4742.184000 3170.912000 -0.234077 -0.110292 0.258759
4742.184000 2784.608000 -0.266619 -0.076199 0.277294
4742.184000 2398.304000 -0.306875 -0.041527 0.309672
4742.184000 2012.000000 -0.352019 -0.001623 0.352023
4742.184000 1625.696000 -0.400866 0.046479 0.403552
4742.184000 1239.392000 -0.457270 0.107040 0.469632
4742.184000 853.088000 -0.531286 0.192194 0.564981
4742.184000 466.784000 -0.632196 0.322723 0.709804
4742.184000 80.480000 -0.746563 0.501798 0.899532
4164.456000 3943.520000 -0.113703 -0.178960 0.212026
4164.456000 3557.216000 -0.137256 -0.140450 0.196381
4164.456000 3170.912000 -0.168311 -0.109162 0.200612
4164.456000 2784.608000 -0.205628 -0.079517 0.220467
4164.456000 2398.304000 -0.246582 -0.044237 0.250518
4164.456000 2012.000000 -0.288187 0.001559 0.288191
4164.456000 1625.696000 -0.326921 0.057801 0.331991
4164.456000 1239.392000 -0.361287 0.119897 0.380662
4164.456000 853.088000 -0.396844 0.188196 0.439207
4164.456000 466.784000 -0.447983 0.283319 0.530055
4164.456000 80.480000 -0.528279 0.444489 0.690397
3586.728000 3943.520000 -0.053094 -0.196573 0.203617
3586.728000 3557.216000 -0.078530 -0.160427 0.178616
3586.728000 3170.912000 -0.106794 -0.129892 0.168157
3586.728000 2784.608000 -0.136652 -0.098628 0.168527
3586.728000 2398.304000 -0.168294 -0.060190 0.178733
3586.728000 2012.000000 -0.201595 -0.007751 0.201744
3586.728000 1625.696000 -0.234298 0.060759 0.242048
3586.728000 1239.392000 -0.263005 0.137257 0.296666
3586.728000 853.088000 -0.287304 0.210519 0.356176
3586.728000 466.784000 -0.313855 0.289155 0.426750
3586.728000 80.480000 -0.354521 0.418076 0.548154
3009.000000 3943.520000 0.015049 -0.236022 0.236501
3009.000000 3557.216000 -0.006859 -0.195847 0.195967
3009.000000 3170.912000 -0.027981 -0.159360 0.161798
3009.000000 2784.608000 -0.048091 -0.122307 0.131422
3009.000000 2398.304000 -0.067746 -0.079404 0.104377
3009.000000 2012.000000 -0.087782 -0.022320 0.090576
3009.000000 1625.696000 -0.108700 0.053554 0.121177
3009.000000 1239.392000 -0.130336 0.140554 0.191685
3009.000000 853.088000 -0.152018 0.223489 0.270290
3009.000000 466.784000 -0.173202 0.304329 0.350164
3009.000000 80.480000 -0.194246 0.425624 0.467854
2431.272000 3943.520000 0.103694 -0.292712 0.310536
2431.272000 3557.216000 0.085529 -0.243581 0.258161
2431.272000 3170.912000 0.070325 -0.197922 0.210045
2431.272000 2784.608000 0.057835 -0.151773 0.162419
2431.272000 2398.304000 0.048147 -0.100350 0.111302
2431.272000 2012.000000 0.040378 -0.036697 0.054562
2431.272000 1625.696000 0.031692 0.042791 0.053249
2431.272000 1239.392000 0.018778 0.131708 0.133040
2431.272000 853.088000 0.001694 0.219238 0.219245
2431.272000 466.784000 -0.012997 0.312339 0.312609
2431.272000 80.480000 -0.015012 0.452992 0.453240
1853.544000 3943.520000 0.223014 -0.367592 0.429952
1853.544000 3557.216000 0.205943 -0.306267 0.369069
1853.544000 3170.912000 0.193930 -0.248117 0.314914
1853.544000 2784.608000 0.186908 -0.190140 0.266622
1853.544000 2398.304000 0.183832 -0.127733 0.223852
1853.544000 2012.000000 0.182804 -0.056557 0.191353
1853.544000 1625.696000 0.180605 0.024744 0.182292
1853.544000 1239.392000 0.175206 0.113153 0.208568
1853.544000 853.088000 0.170726 0.208665 0.269608
1853.544000 466.784000 0.179275 0.328902 0.374588
1853.544000 80.480000 0.212000 0.509450 0.551800
1275.816000 3943.520000 0.383536 -0.457153 0.596732
1275.816000 3557.216000 0.371474 -0.389244 0.538056
1275.816000 3170.912000 0.358599 -0.316575 0.478344
1275.816000 2784.608000 0.351029 -0.243898 0.427443
1275.816000 2398.304000 0.349256 -0.169149 0.388060
1275.816000 2012.000000 0.351918 -0.089138 0.363032
1275.816000 1625.696000 0.358389 -0.001284 0.358391
1275.816000 1239.392000 0.371532 0.098262 0.384307
1275.816000 853.088000 0.399187 0.219901 0.455749
1275.816000 466.784000 0.448614 0.381856 0.589126
1275.816000 80.480000 0.507535 0.587990 0.776739
698.088000 3943.520000 0.565887 -0.536729 0.779940
698.088000 3557.216000 0.581813 -0.475564 0.751443
698.088000 3170.912000 0.590440 -0.401257 0.713881
698.088000 2784.608000 0.593178 -0.316300 0.672239
